,genotype,plot_ID,SITE,line,location,BIOMASS,AREA,SLA,FRESH,DRY,RWC,OP,MDWP,TC,SC,ETSC,Population,subpopulation,Group,LATITIUDE,LONGITUDE,RAWREADCOUNT,FILTEREDREADCOUNT,COUNTMAPPED,PERCENTMAPPED
PD17-30,PIS,K2213,KINGS,PIS.2.G2,Sym,98.59,5.44,204.5112782,0.0766,0.0266,87.10801394,644,14,320,156,49920,HAL_II,HAL_II_I,HAL_II_KINGS,26.0173056,-97.2735278,5310207,3737177,2477691,66.3
PD17-4,HAM,K1813,KINGS,HAM.1.G1,TexMex,61.99,5.53,201.0909091,0.0765,0.0275,74.69512195,495,18,170,209.5,35615,HAL_II,HAL_II_II,HAL_II_KINGS,33.00983,-100.18131,6507497,3677572,2538896,69
PD17-6,PDS,K1817,KINGS,PDS.1.G1,West,134.89,18.18,195.273899,0.2582,0.0931,83.72210953,452,17,317,117,37089,HAL_I,HAL_I_II,HAL_I_KINGS,34.93951,-101.65275,6180484,3718188,2604179,70
PD17-7,PDL,K1903,KINGS,PDL.4.G1,West,131.89,16.82,189.8419865,0.2442,0.0886,78.30900856,698,22.5,579,164.5,95245.5,HAL_I,HAL_I_II,HAL_I_KINGS,34.94755,-101.68897,4713214,2785632,1935092,69.5
PD17-8,DOF,K1906,KINGS,DOF.11.G1,TexMex,104.19,6,190.4761905,0.081,0.0315,75.45731707,504,20,679,207.5,140892.5,HAL_II,HAL_II_II,HAL_II_KINGS,29.8946389,-100.9946389,6159965,3749357,2483049,66.2
PD17-9,KIC,K1915,KINGS,KIC.6.G3,TexMex,407,15.95,198.630137,0.2171,0.0803,80.7079646,611,21,547,311,170117,HAL_II,HAL_II_II,HAL_II_KINGS,29.6184944,-100.443,6868748,4049976,2827041,69.8
PD18-11,EPS,B1029,BFL,EPS.1C.G1,Filipes,118.89,10.46,222.5531915,0.143,0.047,93.2038835,392,4.5,212,362.5,76850,FIL,FIL_II,FIL_BFL,28.4825639,-100.2100444,4802118,4206795,3321686,79
PD18-14,KNT,B1032,BFL,KNT.14A.G2,West,74.49,11.37,204.8648649,0.1691,0.0555,91.53908139,500,9,247,157,38779,HAL_I,HAL_I_II,HAL_I_BFL,31.0498889,-104.212,4339780,3818480,2665794,69.8
PD18-15,GRA,B1034,BFL,GRA.1.G1,West,77.29,4.19,198.5781991,0.0603,0.0211,93.11163895,436,13.5,398,119.5,47561,HAL_I,HAL_I_I,HAL_I_BFL,29.9148611,-99.2430556,6295604,5422313,4200056,77.5
PD18-16,PIS,B1035,BFL,PIS.2.G2,Sym,182.8,7.18,232.3624595,0.0971,0.0309,97.64011799,453,13.5,773,82,63386,HAL_II,HAL_II_I,HAL_II_BFL,26.0173056,-97.2735278,5603088,4694479,3427338,73
PD18-17,JHC,B1037,BFL,JHC.3.G2,TexMex,69.19,3.48,245.0704225,0.0451,0.0142,91.15044248,416,13.5,376,70,26320,HAL_II,HAL_II_II,HAL_II_BFL,30.20725,-98.3069667,5667208,4670289,3413743,73.1
PD18-18,LMA,B1039,BFL,LMA.4.G2,CenTex,6.19,2.79,202.173913,0.0376,0.0138,90.49429658,337,11.5,107,75,8025,HAL_I,HAL_I_I,HAL_I_BFL,30.0163889,-99.7313889,6377943,5311389,3797739,71.5
PD18-19,LAR,B1040,BFL,LAR.1A.G2,Filipes,44.4,6.83,216.1392405,0.0883,0.0316,92.04545455,390,14,168,259,43512,FIL,FIL_II,FIL_BFL,27.4773333,-99.2092139,3665052,3227868,2381247,73.8
PD18-2,HWY,B1009,BFL,HWY.1.G1,West,6.89,5.9,231.372549,0.0807,0.0255,94.52054795,457,11,52,105,5460,HAL_I,HAL_I_II,HAL_I_BFL,34.4690639,-101.110325,5341393,4555956,3600521,79
PD18-20,TNK,B1041,BFL,TNK.2.F,West,NA,3.81,260.9589041,0.0454,0.0146,90.85545723,315,14.5,NA,91,NA,HAL_I,HAL_I_II,HAL_I_BFL,34.9369333,-104.6939667,5161708,4383640,3313544,75.6
PD18-21,SNO,B1102,BFL,SNO.7.G1,West,62.89,8.5,198.5981308,0.1459,0.0428,95.55143652,439,8.5,127,122,15494,HAL_I,HAL_I_II,HAL_I_BFL,31.8005333,-110.7034667,4717683,4159169,3027676,72.8
PD18-22,SPR,B1105,BFL,SPR.30.G3,West,10.59,5.36,205.3639847,0.0776,0.0261,98.28244275,380,10.5,43,165,7095,HAL_I,HAL_I_II,HAL_I_BFL,30.67225,-104.1276944,5718700,5082045,3824182,75.2
PD18-23,LMA,B1109,BFL,LMA.4.G2,CenTex,48.89,4.94,230.8411215,0.0664,0.0214,96.77419355,419,9,138,87.5,12075,HAL_I,HAL_I_I,HAL_I_BFL,30.0163889,-99.7313889,6989529,5802693,4464637,76.9
PD18-24,KIC,B1110,BFL,KIC.6.G3,TexMex,194.6,6.95,190.9340659,0.1013,0.0364,98.33333333,440,11,385,323,124355,HAL_II,HAL_II_II,HAL_II_BFL,29.6184944,-100.443,6628347,5550120,4117741,74.2
PD18-26,MCR,B1120,BFL,MCR.19.G2,West,82.39,6.18,217.6056338,0.0797,0.0284,93.27272727,388,15.5,160,137.5,22000,HAL_I,HAL_I_II,HAL_I_BFL,30.6828611,-104.13475,6372673,5360819,3925875,73.2
PD18-27,HAM,B1121,BFL,HAM.1.G1,TexMex,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.5,NA,HAL_II,HAL_II_II,HAL_II_BFL,33.00983,-100.18131,5308749,4437116,3316540,74.7
PD18-28,NDP,B1122,BFL,NDP.2.G3,Filipes,107.69,7.5,228.6585366,0.0959,0.0328,94.03874814,402,9,172,159,27348,FIL,FIL_I,FIL_BFL,27.91165,-97.6076333,5418414,4562236,3420068,75
PD18-3,HAM,B1010,BFL,HAM.1.G1,TexMex,21.19,3.87,235.9756098,0.0486,0.0164,93.06358382,312,9,97,94,9118,HAL_II,HAL_II_II,HAL_II_BFL,33.00983,-100.18131,5005349,4188261,3215775,76.8
PD18-30,DRB,B1124,BFL,DRB.1.G4,TexMex,84.59,6.96,274.015748,0.092,0.0254,94.20084866,379,13.5,258,153,39474,HAL_II,HAL_II_II,HAL_II_BFL,29.9411944,-100.9705556,5822458,4972820,3426121,68.9
PD18-4,SAN,B1011,BFL,SAN.9.G1,TexMex,43.39,3.74,292.1875,0.047,0.0128,94.21487603,394,11.5,261,79.5,20749.5,HAL_II,HAL_II_II,HAL_II_BFL,30.1346111,-102.5632778,4679864,3984254,2854886,71.7
PD18-5,KER,B1014,BFL,KER.10.G1,CenTex,52.09,4.67,227.804878,0.0639,0.0205,93.93939394,467,16.5,239,115.7,27652.3,HAL_I,HAL_I_I,HAL_I_BFL,30.039708,-99.397314,4625165,4023423,3014420,74.9
PD18-7,NUE,B1021,BFL,NUE.1.F,Filipes,123.89,8.58,220.5655527,0.1096,0.0389,91.10824742,444,14.5,228,169,38532,HAL_II,HAL_II_I,HAL_II_BFL,27.5683833,-97.7955833,4652803,3981484,2879563,72.3
PD19-1,SNO,B1126,BFL,SNO.7.G1,West,169.69,11.18,220.5128205,0.1693,0.0507,95.03205128,358,12.5,210,88,18480,HAL_I,HAL_I_II,HAL_I_BFL,31.8005333,-110.7034667,8742157,5773322,3385444,58.6
PD19-10,PDB,B1204,BFL,PDB.2.G2,West,29.99,6.25,207.641196,0.0515,0.0301,32.72171254,487,8.5,122,95.5,11651,HAL_I,HAL_I_II,HAL_I_BFL,34.92866,-101.63664,8009874,5287377,3176051,60.1
PD19-11,DOF,B1209,BFL,DOF.11.G1,TexMex,82,4.75,220.9302326,0.0624,0.0215,90.68736142,373,12.5,507,157,79599,HAL_II,HAL_II_II,HAL_II_BFL,29.8946389,-100.9946389,6982528,4750218,2838491,59.8
PD19-12,CRS,B1211,BFL,CRS.3.G1,West,51.79,9.5,220.9302326,0.1415,0.043,93.36492891,428,11,205,152,31160,HAL_I,HAL_I_II,HAL_I_BFL,34,-101.0568,3885240,2870482,1842604,64.2
PD19-13,ESE,B1212,BFL,ESE.2.G1,CenTex,NA,5.83,186.8589744,0.0881,0.0312,NA,512,9.5,NA,141.5,NA,HAL_I,HAL_I_I,HAL_I_BFL,30.3482,-99.5893667,6566526,4208798,2851781,67.8
PD19-14,FIL,B1213,BFL,FIL.2A.G2,Filipes,546.7,24.65,177.9783394,0.4078,0.1385,90.24798928,379,14,572,860,491920,FIL,FIL_II,FIL_BFL,27.649558,-97.403858,6152909,4327508,2922804,67.5
PD19-16,KNT,B1216,BFL,KNT.14A.G2,West,121.39,13.01,238.7155963,0.1931,0.0545,90.05847953,417,14.5,317,159.5,50561.5,HAL_I,HAL_I_II,HAL_I_BFL,31.0498889,-104.212,7279098,4929252,2898259,58.8
PD19-17,TNK,B1222,BFL,TNK.2.F,West,147.29,9.18,223.902439,0.1334,0.041,89.88326848,521,13.5,417,32.5,13552.5,HAL_I,HAL_I_II,HAL_I_BFL,34.9369333,-104.6939667,9499195,5357611,3045490,56.8
PD19-18,ESE,B1226,BFL,ESE.2.G1,CenTex,164.99,8.78,217.3267327,0.1119,0.0404,81.15777526,421,9.5,411,103,42333,HAL_I,HAL_I_I,HAL_I_BFL,30.3482,-99.5893667,6803813,4816057,2972595,61.7
PD19-19,POI,B1227,BFL,POI.3.G4,Sym,159.4,5.81,211.2727273,0.0709,0.0275,87.5,661,21.5,452,167.5,75710,HAL_II,HAL_II_I,HAL_II_BFL,26.0642778,-97.2375278,7469397,4727894,2746152,58.1
PD19-2,GNF,B1130,BFL,GNF.1.G1,Filipes,258.49,7.27,226.4797508,0.0882,0.0321,94.92385787,452,12.5,268,176.5,47302,FIL,FIL_I,FIL_BFL,29.3119167,-97.3001333,8849137,5738086,3327118,58
PD19-20,CRS,B1228,BFL,CRS.3.G1,West,207,10.6,217.2131148,0.161,0.0488,88.69565217,516,17,287,154.5,44341.5,HAL_I,HAL_I_II,HAL_I_BFL,34,-101.0568,6753025,4150811,2586280,62.3
PD19-21,GRA,B1229,BFL,GRA.1.G1,West,149.99,10.32,208.9068826,0.1276,0.0494,81.28898129,515,17,369,86.5,31918.5,HAL_I,HAL_I_I,HAL_I_BFL,29.9148611,-99.2430556,5290375,3387585,2069883,61.1
PD19-22,DOF,B1231,BFL,DOF.11.G1,TexMex,209.19,5.95,216.3636364,0.0776,0.0275,80.6763285,413,15.5,625,308.5,192812.5,HAL_II,HAL_II_II,HAL_II_BFL,29.8946389,-100.9946389,6572865,2711870,1169912,43.1
PD19-23,RAN,B1232,BFL,RAN.5.G1,West,186.5,10.97,198.7318841,0.1589,0.0552,87.36310025,421,16,511,98,50078,HAL_I,HAL_I_II,HAL_I_BFL,33.46015,-101.91432,6563768,3431741,1919908,55.9
PD19-24,RAN,B1233,BFL,RAN.5.G1,West,153,12.45,211.3752122,0.1801,0.0589,88.85630499,424,14.5,409,93.5,38241.5,HAL_I,HAL_I_II,HAL_I_BFL,33.46015,-101.91432,8570124,4609304,2785303,60.4
PD19-28,DRB,B1304,BFL,DRB.1.G4,TexMex,56.3,5.03,270.4301075,0.0606,0.0186,92.10526316,352,12.5,344,162.5,55900,HAL_II,HAL_II_II,HAL_II_BFL,29.9411944,-100.9705556,5771616,3866250,2418770,62.6
PD19-29,DRB,B1305,BFL,DRB.1.G4,TexMex,40.39,2.17,271.25,0.0214,0.008,87.58169935,423,10.5,192,171,32832,HAL_II,HAL_II_II,HAL_II_BFL,29.9411944,-100.9705556,6455618,3194601,1935063,60.6
PD19-3,SMT,B1131,BFL,SMT.1.G2,TexMex,105.89,6.41,249.4163424,0.085,0.0257,92.65625,432,8.5,343,91,31213,HAL_II,HAL_II_II,HAL_II_BFL,31.5616389,-98.5992222,9468783,5980907,3620803,60.5
PD19-30,MCR,B1306,BFL,MCR.19.G2,West,44.29,8.56,225.8575198,0.1069,0.0379,90.67017083,372,12,133,134,17822,HAL_I,HAL_I_II,HAL_I_BFL,30.6828611,-104.13475,65475,38553,17251,44.7
PD19-4,KER,B1132,BFL,KER.10.G1,CenTex,120.89,8.27,195.5082742,0.1267,0.0423,96.34703196,465,15.5,230,145.5,33465,HAL_I,HAL_I_I,HAL_I_BFL,30.039708,-99.397314,7820967,5266744,3053699,58
PD19-5,SPR,B1134,BFL,SPR.30.G3,West,NA,5.01,184.8708487,0.0705,0.0271,90.98532495,450,12.5,NA,140.5,NA,HAL_I,HAL_I_II,HAL_I_BFL,30.67225,-104.1276944,59629,37309,19920,53.4
PD19-6,POI,B1136,BFL,POI.3.G4,Sym,127.39,5.6,210.5263158,0.0672,0.0266,90.02217295,499,18,366,180.5,66063,HAL_II,HAL_II_I,HAL_II_BFL,26.0642778,-97.2375278,8508442,4528344,2507075,55.4
PD19-7,KIC,B1137,BFL,KIC.6.G3,TexMex,284.3,12.14,203.3500838,0.1744,0.0597,92.12851406,419,12.5,280,422,118160,HAL_II,HAL_II_II,HAL_II_BFL,29.6184944,-100.443,8413713,5505159,3310972,60.1
PD19-8,NUE,B1141,BFL,NUE.1.F,Filipes,79.19,6.96,213.4969325,0.0925,0.0326,93.44773791,384,13.5,256,47,12032,HAL_II,HAL_II_I,HAL_II_BFL,27.5683833,-97.7955833,7350804,5152334,3121667,60.6
PD2-11,GNH,K1414,KINGS,GNH.10.G2,Sym,145.89,13.13,199.2412747,0.1764,0.0659,86.19344774,562,10,320,281.5,90080,HAL_II,HAL_II_I,HAL_II_KINGS,29.3119167,-97.3001333,7559925,6424480,3657696,56.9
PD2-12,GNH,K1913,KINGS,GNH.10.G2,Sym,128.39,12.76,211.9601329,0.1755,0.0602,85.72490706,556,18,424,133,56392,HAL_II,HAL_II_I,HAL_II_KINGS,29.3119167,-97.3001333,6444911,5528781,3024424,54.7
PD2-13,GNH,K2501,KINGS,GNH.10.G2,Sym,161.19,11.11,226.7346939,0.1411,0.049,NA,686,21,509,170.5,86784.5,HAL_II,HAL_II_I,HAL_II_KINGS,29.3119167,-97.3001333,6460342,5434076,3402201,62.6
PD2-14,PDF,K1208,KINGS,PDF.1.G1,West,26.89,9,176.4705882,0.1302,0.051,77.95275591,689,37.5,81,126,10206,HAL_I,HAL_I_II,HAL_I_KINGS,34.94366,-101.66126,6349501,5320733,3065429,57.6
PD2-15,PDF,K1617,KINGS,PDF.1.G1,West,74.39,11.27,201.25,0.1516,0.056,NA,500,15,240,141,33840,HAL_I,HAL_I_II,HAL_I_KINGS,34.94366,-101.66126,6702829,5697162,3091642,54.3
PD2-16,PDF,K1815,KINGS,PDF.1.G1,West,112.39,12.27,221.0810811,0.1795,0.0555,85.16483516,517,15.5,296,154,45584,HAL_I,HAL_I_II,HAL_I_KINGS,34.94366,-101.66126,6591072,5601054,3607060,64.4
PD2-21,GNH,B1018,BFL,GNH.10.G2,Sym,139.59,8.78,232.8912467,0.1158,0.0377,90.49826188,461,15,250,137.7,34425,HAL_II,HAL_II_I,HAL_II_BFL,29.3119167,-97.3001333,6084777,5239880,3228061,61.6
PD2-22,GNH,B1431,BFL,GNH.10.G2,Sym,282.3,7.34,215.2492669,0.0977,0.0341,92.84671533,455,12,460,140.5,64630,HAL_II,HAL_II_I,HAL_II_BFL,29.3119167,-97.3001333,6367861,5442292,3637825,66.8
PD2-23,GNH,B1530,BFL,GNH.10.G2,Sym,251.39,9.63,214.4766147,0.1194,0.0449,88.58501784,446,13,464,113,52432,HAL_II,HAL_II_I,HAL_II_BFL,29.3119167,-97.3001333,6381625,5551164,3424949,61.7
PD2-24,PDF,B1236,BFL,PDF.1.G1,West,59.39,6.09,235.1351351,0.0853,0.0259,90.54878049,420,14,325,79,25675,HAL_I,HAL_I_II,HAL_I_BFL,34.94366,-101.66126,7172809,6277098,3383000,53.9
PD2-25,PDF,B1420,BFL,PDF.1.G1,West,55.19,8.71,206.888361,0.1186,0.0421,93.63525092,435,8,232,85,19720,HAL_I,HAL_I_II,HAL_I_BFL,34.94366,-101.66126,6073628,5203604,3375397,64.9
PD2-26,PDF,B1434,BFL,PDF.1.G1,West,104.49,10.65,211.3095238,0.163,0.0504,91.17408907,380,13,286,109,31174,HAL_I,HAL_I_II,HAL_I_BFL,34.94366,-101.66126,6137260,5207833,3322275,63.8
PD20-11,SMT,B1330,BFL,SMT.1.G2,TexMex,150.89,5.2,192.5925926,0.0784,0.027,85.66666667,481,12.5,741,102,75582,HAL_II,HAL_II_II,HAL_II_BFL,31.5616389,-98.5992222,5352636,3277454,1682456,51.3
PD20-13,RAN,B1333,BFL,RAN.5.G1,West,150.99,11.21,213.1178707,0.1732,0.0526,89.73214286,379,13,356,104.5,37202,HAL_I,HAL_I_II,HAL_I_BFL,33.46015,-101.91432,5493641,3168097,1662754,52.5
PD20-14,MKF,B1336,BFL,MKF.1.G1,CenTex,176,8.62,204.7505938,0.1151,0.0421,88.16425121,482,14,491,120,58920,HAL_I,HAL_I_I,HAL_I_BFL,30.1777222,-97.7250556,6061476,3054747,1619051,53
PD20-15,DOF,B1337,BFL,DOF.11.G1,TexMex,153.29,6.33,226.0714286,0.0843,0.028,88.24451411,410,15.5,422,209.5,88409,HAL_II,HAL_II_II,HAL_II_BFL,29.8946389,-100.9946389,4177244,2822304,1561476,55.3
PD20-2,NMX,B1311,BFL,NMX.1.G1,West,64.1,10.87,222.2903885,0.1564,0.0489,90.10896899,347,11.5,213,201.5,42919.5,HAL_I,HAL_I_II,HAL_I_BFL,32.4299167,-106.5814833,7146858,3564673,1833409,51.4
PD20-21,EPS,B1405,BFL,EPS.1C.G1,Filipes,82.29,8.75,237.7717391,0.1208,0.0368,95.67198178,413,11.5,150,250.5,37575,FIL,FIL_II,FIL_BFL,28.4825639,-100.2100444,5857014,3613109,1943132,53.8
PD20-22,KNT,B1407,BFL,KNT.14A.G2,West,62.79,8.76,253.1791908,0.1268,0.0346,95.24793388,428,13,120,149.5,17940,HAL_I,HAL_I_II,HAL_I_BFL,31.0498889,-104.212,5680990,3726795,1853071,49.7
PD20-24,STW,B1410,BFL,STW.12.G1,CenTex,56.19,4.69,266.4772727,0.0885,0.0176,NA,473,8.5,252,121.5,30618,HAL_I,HAL_I_I,HAL_I_BFL,32.60925,-98.4895667,6146960,4320946,2359753,54.6
PD20-25,SPR,B1411,BFL,SPR.30.G3,West,22.09,8.63,215.2119701,0.1306,0.0401,97.41657696,493,10,53,146,7738,HAL_I,HAL_I_II,HAL_I_BFL,30.67225,-104.1276944,4915090,3302679,2060169,62.4
PD20-26,LMA,B1423,BFL,LMA.4.G2,CenTex,52.19,7.61,245.483871,0.1021,0.031,97.79917469,36,11.5,345,133.5,46057.5,HAL_I,HAL_I_I,HAL_I_BFL,30.0163889,-99.7313889,4077018,2977107,1848912,62.1
PD20-27,PIS,B1424,BFL,PIS.2.G2,Sym,198.29,9.19,211.7511521,0.1278,0.0434,86.21041879,426,12,721,228,164388,HAL_II,HAL_II_I,HAL_II_BFL,26.0173056,-97.2735278,4982226,3426663,2010022,58.7
PD20-28,ZAP,B1426,BFL,ZAP.1.G1,Filipes,155.19,12.28,213.5652174,0.1748,0.0575,89.26940639,376,14.5,208,355,73840,FIL,FIL_II,FIL_BFL,27.021,-99.1250833,5431858,3765979,2339523,62.1
PD20-29,STW,B1427,BFL,STW.12.G1,CenTex,139.49,5.87,221.509434,0.0845,0.0265,92.3566879,468,9.5,422,113,47686,HAL_I,HAL_I_I,HAL_I_BFL,32.60925,-98.4895667,4600100,3256891,2024783,62.2
PD20-3,MCM,B1312,BFL,MCM.1.G1,Filipes,193.6,9.96,244.1176471,0.1215,0.0408,87.24324324,335,13,379,427.5,162022.5,FIL,FIL_II,FIL_BFL,28.1518667,-98.6385217,5941124,3742294,2054145,54.9
PD20-30,PAB,B1433,BFL,PAB.1.F,Filipes,197.9,11.89,200.8445946,0.1642,0.0592,87.13692946,366,12.5,267,426.5,113875.5,FIL,FIL_I,FIL_BFL,26.0199333,-97.4745,5248129,3737696,2283630,61.1
PD20-4,MCM,B1316,BFL,MCM.1.G1,Filipes,240,16.43,222.6287263,0.2167,0.0738,86.13622664,334,14,379,414,156906,FIL,FIL_II,FIL_BFL,28.1518667,-98.6385217,6608687,2648507,1064581,40.2
PD20-6,PDL,B1321,BFL,PDL.4.G1,West,123.39,10.75,239.9553571,0.1329,0.0448,78.66071429,329,19.5,367,113.5,41654.5,HAL_I,HAL_I_II,HAL_I_BFL,34.94755,-101.68897,4528278,3075488,1678057,54.6
PD20-8,POI,B1323,BFL,POI.3.G4,Sym,369.49,7.37,216.7647059,0.0959,0.034,89.58031838,484,17,889,143.5,127571.5,HAL_II,HAL_II_I,HAL_II_BFL,26.0642778,-97.2375278,6209036,3297486,1584041,48
PD20-9,HDS,B1325,BFL,HDS.1.G1,CenTex,69.19,9.43,239.9491094,0.1155,0.0393,84.2920354,405,14.5,215,147,31605,HAL_I,HAL_I_I,HAL_I_BFL,30,-98.0121,5883151,2700894,1436378,53.2
PD21-1,HAL,B1502,BFL,HAL.2.G1,CenTex,36.09,6.11,225.4612546,0.0861,0.0271,92.04368175,349,10.5,134,133,17822,HAL_I,HAL_I_I,HAL_I_BFL,30.185022,-97.873979,3879412,3098715,1780661,57.5
PD21-10,SAN,B1515,BFL,SAN.9.G1,TexMex,51.99,3.06,285.9813084,0.0394,0.0107,93.79084967,257,10.5,342,96,32832,HAL_II,HAL_II_II,HAL_II_BFL,30.1346111,-102.5632778,5828550,4665336,2951972,63.3
PD21-11,ZAP,B1516,BFL,ZAP.1.G1,Filipes,403.8,15.71,237.6701967,0.2122,0.0661,90.57656541,382,12.5,239,488,116632,FIL,FIL_II,FIL_BFL,27.021,-99.1250833,4369661,3070864,1816403,59.1
PD21-12,BAN,B1517,BFL,BAN.17.G1,CenTex,101.69,6.34,232.2344322,0.0891,0.0273,92.79279279,427,15,324,89,28836,HAL_I,HAL_I_I,HAL_I_BFL,29.847301,-99.573411,6018633,4811349,3084507,64.1
PD21-13,JHC,B1518,BFL,JHC.3.G2,TexMex,128.3,5.34,207.7821012,0.0747,0.0257,85.06944444,276,9,710,79.5,56445,HAL_II,HAL_II_II,HAL_II_BFL,30.20725,-98.3069667,4702883,3828705,2239141,58.5
PD21-14,NDP,B1520,BFL,NDP.2.G3,Filipes,379.2,10.1,186.0036832,0.1484,0.0543,91.71539961,441,15,536,182.5,97820,FIL,FIL_I,FIL_BFL,27.91165,-97.6076333,5121590,3985839,2363493,59.3
PD21-15,SMT,B1521,BFL,SMT.1.G2,TexMex,220.4,10.13,217.3819742,0.1456,0.0466,95.74468085,446,16,546,73,39858,HAL_II,HAL_II_II,HAL_II_BFL,31.5616389,-98.5992222,4307228,3739176,2319781,62
PD21-16,SAN,B1523,BFL,SAN.9.G1,TexMex,100.59,6.6,266.1290323,0.0886,0.0248,87.39726027,382,9.5,418,77.5,32395,HAL_II,HAL_II_II,HAL_II_BFL,30.1346111,-102.5632778,4554242,3996424,2456734,61.5
PD21-17,ALI,B1525,BFL,ALI.4.G1,West,84.09,7.45,247.5083056,0.1192,0.0301,92.33160622,435,11,270,89.5,24165,HAL_I,HAL_I_II,HAL_I_BFL,35.57391,-101.70107,5875873,4791628,2709062,56.5
PD21-21,ESE,B1534,BFL,ESE.2.G1,CenTex,97.59,5.23,218.8284519,0.0759,0.0239,88.13559322,290,11,236,168.5,39766,HAL_I,HAL_I_I,HAL_I_BFL,30.3482,-99.5893667,5742744,4691938,3086395,65.8
PD21-22,ZAP,B1535,BFL,ZAP.1.G1,Filipes,245.6,18.36,211.2773303,0.2707,0.0869,93.39430894,330,15,222,507,112554,FIL,FIL_II,FIL_BFL,27.021,-99.1250833,5597903,4252257,2774785,65.3
PD21-25,PDS,B1538,BFL,PDS.1.G1,West,69.09,4.89,201.2345679,0.0721,0.0243,95.02982107,582,16,188,86,16168,HAL_I,HAL_I_II,HAL_I_BFL,34.93951,-101.65275,6516571,5248117,3149381,60
PD21-26,JHC,B1539,BFL,JHC.3.G2,TexMex,56.49,3.72,197.8723404,0.0533,0.0188,89.61038961,574,13.5,334,50,16700,HAL_II,HAL_II_II,HAL_II_BFL,30.20725,-98.3069667,6725375,5358785,3253264,60.7
PD21-27,GNF,B1601,BFL,GNF.1.G1,Filipes,0.79,5.53,177.8135048,0.088,0.0311,87.13629403,667,9,34,65.5,2227,FIL,FIL_I,FIL_BFL,29.3119167,-97.3001333,6338499,4813587,3113335,64.7
PD21-28,BOS,B1602,BFL,BOS.3.G1,West,54.39,9.46,208.8300221,0.1297,0.0453,90.26737968,436,14.5,219,132,28908,HAL_I,HAL_I_II,HAL_I_BFL,32.127966,-97.559581,6293950,5193385,3637438,70
PD21-3,GRA,B1504,BFL,GRA.1.G1,West,31.09,7.52,229.969419,0.0966,0.0327,97.40853659,339,10.5,108,66.7,7203.6,HAL_I,HAL_I_I,HAL_I_BFL,29.9148611,-99.2430556,3851937,2654906,1631117,61.4
PD21-30,ATA,B1605,BFL,ATA.1.G1,TexMex,28.99,4.96,244.3349754,0.0572,0.0203,92.25,589,11,194,154,29876,HAL_II,HAL_II_I,HAL_II_BFL,28.7897,-98.5413167,5301730,4374344,2627305,60.1
PD21-5,CLA,B1508,BFL,CLA.1A.G1,West,5.89,8,221.6066482,0.1332,0.0361,93.81642512,378,8,47,81,3807,HAL_I,HAL_I_II,HAL_I_BFL,36.63637,-103.03747,3447274,2682492,1731045,64.5
PD21-6,CNF,B1509,BFL,CNF.2.G1,West,11.89,4.65,254.0983607,0.0605,0.0183,87.01030928,384,9.5,65,75,4875,HAL_I,HAL_I_II,HAL_I_BFL,31.8020583,-110.9152417,3801138,2870027,1979907,69
